region,period,community_id,n_words,top_words_preview,label,lane,origin,inherited_from
combined,1510-1530,1,785,merytes; withdrewe; excellence; petycyon; worthynesse; conuersacyon; exercyse; goodnesse; mekenesse; strength,Virtue and Moral Qualities,Morality: Virtue & Vice,human,
combined,1510-1530,3,729,fyersly; honorably; strake; baner; lyked; holdynge; ranne; ioyously; lepte; spedde,Chivalric Romance Narrative Verbs,"Literature, Drama & Poetic Diction",human,
combined,1510-1530,0,867,obedience; consciences; styrre; turne; merites; trueth; obeye; offer; love; happely,"Obedience, Conscience and Sin","Religion, Theology & the Church",human,
combined,1510-1530,8,326,countreys; forestes; burgesses; costes; capitaynes; furnysshed; countres; kyndes; capytaynes; marchesse,"Kingdoms, Officials and Institutions","Government, Law & Administration",human,
combined,1510-1530,7,331,apres; ceo; auera; staple; bref; mez; feme; sur; dit; brefe,Law French Legal Text,Structural / Uncertain,human,
combined,1510-1530,6,558,penbroke; newcastell; eldred; loyes; scotlonde; decessed; romayne; bretayne; saxons; vicount,British Chronicle: Places and Persons,"History, Genealogy, Nobility & Kinship",human,
combined,1510-1530,4,700,iam; ecclesiae; enim; exemplum; singulis; hunc; eam; nostra; primi; nunc,Latin Text (Function Words),Structural / Uncertain,human,
combined,1510-1530,9,279,xxvij; xxxvi; xxij; lvii; xlvi; xlv; xliii; xj; perche; xviij,Roman Numerals and Dates,Structural / Uncertain,human,
combined,1510-1530,5,644,roses; vyne; coler; grauell; lynen; cole; potte; guttes; barly; hony,"Body, Ailments and Remedies","Medicine, Body & Health",human,
combined,1510-1530,10,89,perfe; diuerse; neutre; ritis; diseases; fuisse; rit; rint; plurel; nownes,Latin Grammar Terminology,Structural / Uncertain,human,
combined,1510-1530,12,42,godt; niet; maer; als; op; een; van; nicht; dat; ist,Dutch/German Text,Structural / Uncertain,human,
combined,1510-1530,11,60,mytted; mended; maundeme; quered; myt; maundementes; syder; forte; scie; maundeth,Truncated Word Fragments,Structural / Uncertain,human,
combined,1510-1530,13,34,oughtest; wylte; mayste; reioyce; doest; shuldest; haddest; canst; wylt; woldest,Second-Person Verb Forms,Structural / Uncertain,human,
combined,1510-1530,2,774,dimidium; regulam; differentiam; stell; lucrum; marcell; margarete; zelande; blud; wette,Mixed Latin Arithmetic and Names,Structural / Uncertain,human,
combined,1530-1550,0,2648,vsages; glotony; sauage; dooynges; abbottes; enormities; deceytes; flesshely; studies; perils,Virtue and Moral Qualities,Morality: Virtue & Vice,inherited,1510-1530#1
combined,1530-1550,5,1155,neighboure; homicide; adder; proposicion; ape; redempcion; instrumente; iniquities; enymes; teethe,Latin Grammar Terminology,Structural / Uncertain,inherited,1510-1530#10
combined,1530-1550,2,1738,assist; compell; enforce; condemne; resist; condempne; belong; keape; nyl; impute,"Obedience, Conscience and Sin","Religion, Theology & the Church",inherited,1510-1530#0
combined,1530-1550,4,1206,guysnes; caleys; liberties; hundredes; archedeacons; castelles; reuenues; marches; countye; pencions,"Kingdoms, Officials and Institutions","Government, Law & Administration",inherited,1510-1530#8
combined,1530-1550,6,1127,disquieted; conuicte; filled; aforesaied; benne; slaine; inuaded; enryched; combred; arrested,Mixed Latin Arithmetic and Names,Structural / Uncertain,inherited,1510-1530#2
combined,1530-1550,14,358,vie; penite; tiel; agreme; blou; thinte; clare; arroga; augme; suffycye,Law French Legal Text,Structural / Uncertain,inherited,1510-1530#7
