region,period,community_id,n_words,top_words_preview,label,lane,origin,inherited_from
american,1650-1670,8,32,orders; consent; immediately; sundry; several; nations; twenty; parts; four; country,Councils and Civil Administration,"Government, Law & Administration",human,
american,1650-1670,5,37,goodness; mind; witness; righteous; justice; fruit; flesh; righteousness; kingdom; sake,"Grace, Righteousness and Repentance","Religion, Theology & the Church",human,
american,1650-1670,7,34,glad; sing; mighty; voyce; servant; bless; strength; gracious; mouth; isai,Psalms of Praise and Worship,"Religion, Theology & the Church",human,
american,1650-1670,1,46,sect; authority; officers; major; book; offence; otherwise; thereof; therein; next,Magistrates and Legal Jurisdiction,"Government, Law & Administration",human,
american,1650-1670,0,49,immediate; alledged; denied; manifest; admitted; proved; observed; excommunication; ans; difference,"Argument, Proof and Rebuttal",Rhetoric & Persuasion,human,
american,1650-1670,15,25,feet; arms; likewise; sword; back; land; poor; houses; hands; away,Directional Particles and Verbs,Structural / Uncertain,human,
american,1650-1670,22,22,loss; personally; watch; baptized; adult; posterity; minority; lives; jews; enter,"Baptism, Posterity and Church Membership","Religion, Theology & the Church",human,
american,1650-1670,4,41,died; continued; massachusets; certain; got; afterwards; lived; english; egypt; corn,Colonial New England Narrative,"History, Genealogy, Nobility & Kinship",human,
american,1650-1670,20,23,easily; plainly; farre; far; thereby; fit; farr; justly; rather; often,Comparative and Degree Adverbs,Structural / Uncertain,human,
american,1650-1670,26,19,rev; mystery; israels; chap; text; spoken; salvation; isa; verse; paul,Scripture Exegesis and Biblical Text,"Religion, Theology & the Church",human,
american,1650-1670,10,31,song; temple; kings; heavens; devil; throne; gold; sea; sun; presence,Apocalyptic and Cosmic Imagery,"Religion, Theology & the Church",human,
american,1650-1670,28,11,days; destroyed; converted; read; gentiles; iews; notice; taken; saved; said,"Gentiles, Conversion and Prophets","Religion, Theology & the Church",human,
american,1650-1670,2,45,calling; exercise; external; obedience; rule; ordinances; divine; outward; form; doctrine,Church Doctrine and Ordinances,"Religion, Theology & the Church",human,
american,1650-1670,13,29,labour; trust; prayse; enemies; generation; ev'n; souls; drink; wayes; young,"Souls, Sin and Devotion","Religion, Theology & the Church",human,
american,1650-1670,3,44,conceive; object; else; doubt; alwayes; enough; still; believe; understand; hope,"Reasoning, Belief and Doubt",Rhetoric & Persuasion,human,
american,1650-1670,14,26,rejoyce; confess; stay; ill; depart; eat; grave; arise; get; perish,Mortality and Religious Exhortation,"Religion, Theology & the Church",human,
american,1650-1670,9,31,following; election; sort; proposition; mentioned; fifth; conversion; table; resurrection; reasons,"Election, Conversion and Synod Debate","Religion, Theology & the Church",human,
american,1650-1670,11,31,captain; plantation; held; boston; plimouth; assistants; testament; reverend; considerable; appeared,Plymouth and Massachusetts Colonial History,"History, Genealogy, Nobility & Kinship",human,
american,1650-1670,18,24,foes; ay; i'le; fear; mee; hear; eyes; doe; yee; therfore,Archaic Second-Person Verb Forms,Structural / Uncertain,human,
american,1650-1670,23,22,seek; deliver; desire; save; pray; leave; suffer; speak; bring; receive,Common Verbs in Bare Infinitive,Structural / Uncertain,human,
american,1650-1670,6,37,thes; col; joh; eternal; eph; pet; jer; luke; sam; gal,Biblical Book Abbreviations,Structural / Uncertain,human,
american,1650-1670,12,29,matters; ecclesiastical; wealth; ends; priviledges; laws; discipline; believers; state; general,Church and State Governance,"Government, Law & Administration",human,
american,1650-1670,27,17,sore; ly; tears; quite; iniquity; deliverance; tongue; sion; jacob; hell,Lament and Deliverance,"Religion, Theology & the Church",human,
american,1650-1670,24,21,safety; seems; sound; deep; large; guilty; side; ordinary; judgement; argument,General Descriptive Adjectives,Structural / Uncertain,human,
american,1650-1670,25,20,open; darkness; rise; waters; run; destroy; dwell; thence; occasion; lay,Wilderness Journey and Wickedness,"Religion, Theology & the Church",human,
american,1650-1670,21,22,infancy; laid; satan; received; heavenly; delivered; raised; promised; gives; disciples,"Christ, Satan and Biblical Patriarchs","Religion, Theology & the Church",human,
american,1650-1670,19,23,qualified; subjects; truths; author; qualifications; honour; wrought; meanes; worthy; promises,Ministerial Qualifications and Gifts,"Religion, Theology & the Church",human,
american,1650-1670,17,24,express; granted; observe; search; expressed; continue; charity; thereunto; arguments; added,Legal Proceedings and Liberties,"Government, Law & Administration",human,
american,1650-1670,16,25,giving; judgments; seal; relation; stone; faithful; charge; heathen; estate; providence,"Providence, Saints and Election","Religion, Theology & the Church",human,
american,1670-1690,34,54,goodness; faithfulness; soveraignty; excellency; bounty; praises; wisdome; submission; gracious; kindness,Divine Attributes and Majesty,"Religion, Theology & the Church",human,
american,1670-1690,32,55,writers; memorable; comet; comets; blazing; remarkable; eminent; stars; prop; weighty,Comets and Celestial Phenomena,"Science, Mathematics & Natural Philosophy",human,
american,1670-1690,22,79,col; ult; gal; joh; eph; heb; thess; pet; tit; isa,Biblical Book Abbreviations,Structural / Uncertain,inherited,1650-1670#6
american,1670-1690,7,108,deceived; necessary; likely; afraid; affected; apt; troubled; obliged; needless; forced,Predicate Adjectives of Feeling,Structural / Uncertain,human,
american,1670-1690,4,129,secretary; deputies; clerk; commissioners; fines; treasurer; entry; marshal; treasury; summons,Magistrates and Legal Jurisdiction,"Government, Law & Administration",inherited,1650-1670#1
american,1670-1690,33,54,crime; drunkard; corruption; preacher; murther; accused; witch; saint; fool; condemned,"Grace, Righteousness and Repentance","Religion, Theology & the Church",inherited,1650-1670#5
american,1670-1690,28,66,eighty; pound; eighteen; thirty; sixty; nine; forty; eight; twenty; seventy,Councils and Civil Administration,"Government, Law & Administration",inherited,1650-1670#8
american,1670-1690,2,136,grievous; notorious; sore; odious; horrid; famine; injurious; prodigious; foolish; dangerous,"Baptism, Posterity and Church Membership","Religion, Theology & the Church",inherited,1650-1670#22
american,1670-1690,39,32,hurt; harm; gain; otherwise; sooner; profit; longer; wrong; wonder; less,Comparative and Degree Adverbs,Structural / Uncertain,inherited,1650-1670#20
american,1670-1690,41,24,thither; back; weeping; quickly; bid; behind; thereon; hither; down; along,Directional Particles and Verbs,Structural / Uncertain,inherited,1650-1670#15
american,1670-1690,19,81,march; august; april; moneth; clock; tuesday; quarters; november; february; september,"Election, Conversion and Synod Debate","Religion, Theology & the Church",inherited,1650-1670#9
american,1670-1690,23,78,imagine; advise; say; shew; understand; suppose; forbear; finde; discover; conceive,"Reasoning, Belief and Doubt",Rhetoric & Persuasion,inherited,1650-1670#3
american,1670-1690,14,94,affirmed; allowed; published; expressed; observed; relates; discovered; liable; proved; lately,Legal Proceedings and Liberties,"Government, Law & Administration",inherited,1650-1670#17
american,1670-1690,5,129,testimonies; points; properties; forms; truths; graces; calamities; mysteries; ceremonies; dispensations,Ministerial Qualifications and Gifts,"Religion, Theology & the Church",inherited,1650-1670#19
american,1670-1690,31,63,prudence; concernments; concernment; integrity; improvement; instructions; exercises; skill; success; policy,"Prudence, Diligence and Personal Virtue",Morality: Virtue & Vice,human,
american,1670-1690,36,50,apprehension; demonstration; evidence; error; sufficiency; mystery; inclination; assent; knowledg; abomination,"Evidence, Belief and Demonstration",Rhetoric & Persuasion,human,
american,1670-1690,13,94,corruptions; neighbours; foes; iniquities; minds; doings; swords; mouths; mothers; fears,"Souls, Sin and Devotion","Religion, Theology & the Church",inherited,1650-1670#13
american,1670-1690,15,93,owned; helped; forsaken; procured; bin; forgotten; bought; attained; spake; confessed,"Christ, Satan and Biblical Patriarchs","Religion, Theology & the Church",inherited,1650-1670#21
american,1670-1690,27,69,wigwams; powder; fort; swamp; hill; ice; marched; boat; shot; vessel,Frontier Warfare and Terrain,Military & Warfare,human,
american,1670-1690,0,178,approve; yield; encourage; quicken; submit; heal; subdue; promote; procure; expose,Common Verbs in Bare Infinitive,Structural / Uncertain,inherited,1650-1670#23
american,1670-1690,1,157,mountains; flame; rocks; flood; wind; waves; storm; ocean; stones; skin,Apocalyptic and Cosmic Imagery,"Religion, Theology & the Church",inherited,1650-1670#10
american,1670-1690,16,93,throw; tread; sink; cover; pull; beat; drive; thrust; run; ride,Wilderness Journey and Wickedness,"Religion, Theology & the Church",inherited,1650-1670#25
american,1670-1690,17,90,daughter; isaac; joseph; wife; maid; virgin; mary; daniel; joshua; jacob,Psalms of Praise and Worship,"Religion, Theology & the Church",inherited,1650-1670#7
american,1670-1690,21,80,inspiration; membership; infants; sacraments; qualified; apostles; administred; teachers; peter; ordained,"Argument, Proof and Rebuttal",Rhetoric & Persuasion,inherited,1650-1670#0
american,1670-1690,20,80,giveth; sheweth; goeth; hates; gives; puts; teacheth; sets; makes; loveth,Third-Person '-eth' Verb Forms,Structural / Uncertain,human,
american,1670-1690,8,106,operation; institution; consists; perfection; sanctification; virtue; passive; essential; union; voluntary,"Providence, Saints and Election","Religion, Theology & the Church",inherited,1650-1670#16
american,1670-1690,3,136,asserted; proposition; epistle; chapter; psalm; apparent; interpretation; greek; foregoing; narrative,Scripture Exegesis and Biblical Text,"Religion, Theology & the Church",inherited,1650-1670#26
american,1670-1690,35,51,knees; belly; neck; arm; bowels; lips; breast; sister; garment; bones,Body Parts,"Medicine, Body & Health",human,
american,1670-1690,9,100,internal; enjoyment; practical; holiness; piety; humility; edification; purity; external; obtaining,Church Doctrine and Ordinances,"Religion, Theology & the Church",inherited,1650-1670#2
american,1670-1690,6,124,struck; blown; pulled; ran; fled; cutting; driven; broke; brake; seized,Colonial New England Narrative,"History, Genealogy, Nobility & Kinship",inherited,1650-1670#4
american,1670-1690,37,43,obligation; business; carrying; impression; attendance; undertaking; rely; depend; progress; seize,"Duty, Obligation and Reliance",Morality: Virtue & Vice,human,
american,1670-1690,18,89,pray; grieve; prosper; bless; thank; mourn; endure; perish; feel; sleep,Mortality and Religious Exhortation,"Religion, Theology & the Church",inherited,1650-1670#14
american,1670-1690,24,75,governours; maintaining; constitution; administration; affairs; rights; maintenance; ecclesiastical; orders; civil,Church and State Governance,"Government, Law & Administration",inherited,1650-1670#12
american,1670-1690,11,99,damage; defect; allowance; quantity; payment; criminal; penalty; damages; imprisoned; proportion,General Descriptive Adjectives,Structural / Uncertain,inherited,1650-1670#24
american,1670-1690,38,40,faculty; property; principle; figure; disposition; moral; essence; suitable; substance; tincture,"Nature, Essence and Philosophical Form","Science, Mathematics & Natural Philosophy",human,
american,1670-1690,12,96,pequots; germany; narraganset; north; massachusets; plimouth; connecticut; eastern; philips; bay,"Gentiles, Conversion and Prophets","Religion, Theology & the Church",inherited,1650-1670#28
american,1670-1690,10,100,anno; lib; samuel; stubs; cap; thomas; william; famous; st; richard,Plymouth and Massachusetts Colonial History,"History, Genealogy, Nobility & Kinship",inherited,1650-1670#11
american,1670-1690,43,21,hungry; swift; play; crucified; meat; wine; bloud; strong; fight; bread,"Battle, Bloodshed and Combat",Military & Warfare,human,
american,1670-1690,30,65,colonies; territories; province; fields; ships; horses; towns; companies; bishops; countries,"Colonies, Provinces and Territory",Geography & Territory,human,
american,1670-1690,45,14,wast; knowest; wilt; shouldest; mayest; art; silence; shalt; seeing; lest,Archaic Second-Person Verb Forms,Structural / Uncertain,inherited,1650-1670#18
american,1670-1690,26,69,drowned; suddenly; pursued; killed; barbarous; slain; murdered; stout; hundreds; drunken,"Killing, Slaughter and Captivity",Military & Warfare,human,
american,1670-1690,25,73,grief; griefs; ah; sorrows; sorrow; affliction; pain; bitterness; hazard; shame,Lament and Deliverance,"Religion, Theology & the Church",inherited,1650-1670#27
american,1670-1690,40,28,defection; arising; proceeding; secured; apostacy; separated; ariseth; turning; strangers; separation,Apostasy and Religious Separation,"Religion, Theology & the Church",human,
american,1670-1690,29,65,hypocrisie; uncleanness; hellish; malice; imaginations; envy; filthy; covetousness; carnal; pride,"Sin, Vice and Corruption",Morality: Virtue & Vice,human,
american,1670-1690,42,22,president; charters; printed; edward; parliament; council; declaration; synod; advice; letters,"Charters, Petitions and Government Documents","Government, Law & Administration",human,
american,1670-1690,44,15,possessed; corrupted; furnished; filled; acquainted; surprized; fed; converse; armed; increased,Generic Past-Participle Verbs,Structural / Uncertain,human,
american,1690-1710,6,156,sanctification; essential; perfection; manifestation; godhead; manhood; illumination; gift; influences; adoption,"Providence, Saints and Election","Religion, Theology & the Church",inherited,1670-1690#8
american,1690-1710,14,125,fidelity; activity; prudence; inclination; affection; promoting; industry; vigorous; humility; temper,Church Doctrine and Ordinances,"Religion, Theology & the Church",inherited,1670-1690#9
american,1690-1710,43,52,wines; wares; sale; liquors; leather; beer; swine; tenements; stock; chattels,"Goods, Wares and Trade Commodities","Trade, Finance & Commerce",human,
american,1690-1710,13,126,justifie; imagine; demonstrate; show; assert; conceive; argue; allow; deny; affirm,"Reasoning, Belief and Doubt",Rhetoric & Persuasion,inherited,1670-1690#23
american,1690-1710,18,115,song; ephes; cap; dan; luke; gal; zion; ult; mat; sing,Biblical Book Abbreviations,Structural / Uncertain,inherited,1670-1690#22
american,1690-1710,39,67,quantity; tobacco; mony; penny; pence; pound; barrel; hogshead; shilling; mile,Frontier Warfare and Terrain,Military & Warfare,inherited,1670-1690#27
american,1690-1710,7,143,daughter; sarah; mrs; boy; neighbours; virgin; wife; bird; lamb; serpent,"Souls, Sin and Devotion","Religion, Theology & the Church",inherited,1670-1690#13
american,1690-1710,8,141,presbyterian; protestants; dutch; hereticks; roman; respecting; rites; congregational; writers; israelites,"Argument, Proof and Rebuttal",Rhetoric & Persuasion,inherited,1670-1690#21
american,1690-1710,1,197,confessed; affirmed; asserted; acknowledged; proved; quoted; allowed; improved; produced; attested,Legal Proceedings and Liberties,"Government, Law & Administration",inherited,1670-1690#14
american,1690-1710,47,22,less; otherwise; wonder; lower; harm; farther; worse; sooner; longer; rather,Comparative and Degree Adverbs,Structural / Uncertain,inherited,1670-1690#39
american,1690-1710,38,70,nine; thirty; eighty; sixty; leagues; upwards; forty; fifteen; eight; eighteen,Councils and Civil Administration,"Government, Law & Administration",inherited,1670-1690#28
