region,period,community_id,n_words,top_words_preview,label,lane,origin,inherited_from
british,1510-1530,40,59,sadde; bryght; shynynge; lusty; eke; eye; couetous; syght; countenaunce; alwaye,Descriptive Poetic Adjectives,"Literature, Drama & Poetic Diction",human,
british,1510-1530,28,115,hoost; seneshall; shyppe; walle; palays; hermyte; anone; damoysell; ponthus; hylle,Chivalric Romance Names,Structural / Uncertain,human,
british,1510-1530,3,230,excuse; spare; aske; thynk; gete; blame; parceyue; swere; amende; thinke,Verbs of Thinking and Perceiving,Structural / Uncertain,human,
british,1510-1530,12,171,forestes; capitaynes; countreys; burgesses; countres; positio; greattest; mart; comons; confermed,"Realms, Offices and Civic Administration","Government, Law & Administration",human,
british,1510-1530,26,120,apperceyued; behelde; auayled; amended; strongely; wonne; conforted; wyst; wyste; perceyued,Past-Tense Narrative Verbs,Structural / Uncertain,human,
british,1510-1530,2,239,ranne; salued; sate; drewe; dyscomfyted; yssued; lepte; strake; felle; roche,Combat and Motion Verbs,Military & Warfare,human,
british,1510-1530,6,213,worthynesse; goodnesse; gladnes; synfull; corage; felycyte; goodnes; strength; courage; solace,Virtues and Moral Qualities,Morality: Virtue & Vice,human,
british,1510-1530,31,113,neutre; gendre; factus; dus; sitis; plurel; perfe; noi; doctus; eris,Latin and French Grammar Terms,"Books, Learning & Scholarship",human,
british,1510-1530,39,61,myt; maundeme; cluded; scie; quered; mytted; maun; fort; mytte; myng,Word Fragments,Structural / Uncertain,human,
british,1510-1530,20,136,merites; merytes; withdrewe; trespace; reioyse; mouthes; wyckednesse; raunsome; delyueraunce; sheldes,"Sin, Ransom and Deliverance","Religion, Theology & the Church",human,
british,1510-1530,15,158,apres; ceo; bref; mez; accio; auera; teneme; brefe; feme; couenau,Law French Legal Text,Structural / Uncertain,human,
british,1510-1530,38,67,kyndes; diseases; peres; sortes; poyntes; diuerse; degrees; thoughtes; oxen; matters,Generic Plural Nouns,Structural / Uncertain,human,
british,1510-1530,0,268,trueth; consciences; evyll; bloud; love; obedience; deale; agenst; preach; godly,"Truth, Conscience and Preaching","Religion, Theology & the Church",human,
british,1510-1530,19,137,petycyon; spouse; departure; maieste; cosyns; syster; requestes; broder; benefytes; welbeloued,"Holy Family, Salvation and Kinship","Religion, Theology & the Church",human,
british,1510-1530,23,125,score; twenty; wekes; mornynge; thousand; pounde; houres; souper; sondaye; lx,"Dates, Times and Numerals",Structural / Uncertain,human,
british,1510-1530,35,89,dryue; lepe; goo; caste; loked; blowe; cast; breke; morne; fall,Infinitive Verb Forms,Structural / Uncertain,human,
british,1510-1530,29,115,irlonde; loyes; arundell; rycharde; therle; yonger; penbroke; ep; eldred; irlande,English Nobility and Earldoms,"History, Genealogy, Nobility & Kinship",human,
british,1510-1530,5,218,enim; primi; gratia; suis; illud; quoniam; dominus; homines; christvs; tuum,Latin Religious Text,Structural / Uncertain,human,
british,1510-1530,32,113,staple; writ; fraunches; shyryff; attaynt; issue; deposed; accion; valew; sute,Legal Writs and Property Actions,"Government, Law & Administration",human,
british,1510-1530,16,156,bisshop; romayne; gregory; translacyon; martyne; addicyons; luke; neuewe; euangelyst; empresse,Church Fathers and Evangelists,"Religion, Theology & the Church",human,
british,1510-1530,27,118,subtile; moyst; bludde; sodde; rawe; fatte; melancoly; drie; colde; spiritis,Humours and Bodily Complexion,"Medicine, Body & Health",human,
british,1510-1530,14,170,delectacyon; herytages; noblesse; swetnes; exercyse; wretchednesse; entencyon; behauour; othes; delectable,"Vice, Misery and Vanity",Morality: Virtue & Vice,human,
british,1510-1530,1,260,omnino; iam; solomon; eam; ecclesiae; alijs; omnes; nunc; facile; ita,Latin Function Words,Structural / Uncertain,human,
british,1510-1530,10,175,egypt; marches; affryke; saxons; turney; kent; scotland; wales; perse; newcastell,Place Names and Regions,Geography & Territory,human,
british,1510-1530,8,200,roses; lynen; hony; cole; barly; grene; potte; fenell; butter; yelowe,Household Goods and Provisions,"Domestic Life, Dress & Household",human,
british,1510-1530,43,37,bri; pry; pacie; ki; nothy; obedye; dre; yo; remembrau; pryn,Word Fragments,Structural / Uncertain,human,
british,1510-1530,13,171,guttes; vyne; grauell; myddest; bladder; longues; barres; brest; raynes; dropsy,Internal Organs and Anatomy,"Medicine, Body & Health",human,
british,1510-1530,34,102,archers; monasteryes; shippes; batayles; marchauntes; enclosed; countrees; capytaynes; brytons; townes,"Archers, Knights and Castles",Military & Warfare,human,
british,1510-1530,22,129,lyked; fleeth; receyueth; greueth; openeth; loveth; delyteth; comyth; clenseth; worketh,Third-Person -eth Verb Forms,Structural / Uncertain,human,
british,1510-1530,9,189,xxvij; xxxvi; xlii; vltimo; xxij; lxiiii; xlv; xviij; xxxix; xxxii,Roman Numerals and Dates,Structural / Uncertain,human,
british,1510-1530,4,229,consente; accuse; punysshe; styrre; prepare; happely; suffyse; scape; displease; obeye,Base-Form Verbs,Structural / Uncertain,human,
british,1510-1530,17,156,affection; mekenesse; excellence; benygne; sanctite; pacyence; vyrgynyte; chastyte; humylyte; bounte,"Meekness, Chastity and Devout Virtue",Morality: Virtue & Vice,human,
british,1510-1530,36,68,bien; ee; aurei; christo; quel; plura; mundo; sin; bonis; latine,Mixed Foreign-Language Text,Structural / Uncertain,human,
british,1510-1530,21,136,helme; chayre; throte; necke; fynger; lyppes; sydes; baner; legge; breste,Body Parts and Physical Description,"Medicine, Body & Health",human,
british,1510-1530,41,50,godt; hedde; op; niet; dat; nicht; maer; ist; christus; als,Dutch and German Text,Structural / Uncertain,human,
british,1510-1530,7,204,robbers; beheeded; sufficyent; auoyded; ordened; presentes; fortunes; desired; regarded; bifore,"Treason, Punishment and Corruption","Government, Law & Administration",human,
british,1510-1530,42,41,oughtest; mayste; sholdest; shuldest; haddest; doest; ayded; canst; wylte; wylt,Second-Person Verb Forms,Structural / Uncertain,human,
british,1510-1530,37,67,suo; unam; fiet; seu; bertram; lon; quicquid; sermo; sauoy; englo,Latin Text and Word Fragments,Structural / Uncertain,human,
